base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0000,test,ab,source,def_source,whole_state,6,4096,2,4,-3.703125,-3.703125,0.0,0,0,1,0,0.0,0.0,44.334693217944945,4096,True,"H0,H1,H2",False,
base_0000,test,ab,source,def_source,noop,6,0,2,4,-3.703125,-3.703125,0.0,0,0,1,0,0.0,0.0,44.334693217944945,0,True,"H0,H1,H2",False,
base_0000,test,ab,source,def_target,whole_state,6,4096,2,4,-3.703125,-3.578125,0.125,0,0,1,0,0.4462674572367566,18.181528987005237,40.74132830474228,4096,False,"H0,H1,H2",False,
base_0000,test,ab,source,def_target,noop,6,0,2,4,-3.703125,-3.703125,0.0,0,0,1,0,0.0,0.0,40.74132830474228,0,True,"H0,H1,H2",False,
base_0000,test,ab,source,mutation,whole_state,6,4096,2,4,-3.703125,-3.015625,0.6875,0,0,1,0,0.9898960173836169,41.586994043317425,42.011477279437436,4096,False,"H0,H1,H2",False,
base_0000,test,ab,source,mutation,noop,6,0,2,4,-3.703125,-3.703125,0.0,0,0,1,0,0.0,0.0,42.011477279437436,0,True,"H0,H1,H2",False,
base_0000,test,ab,source,use,whole_state,6,4096,2,4,-3.703125,2.875,6.578125,1,1,0,0,0.7002353208630014,29.77536704897651,42.52194392633609,4096,False,"H0,H1,H2",False,
base_0000,test,ab,source,use,noop,6,0,2,4,-3.703125,-3.703125,0.0,0,0,1,0,0.0,0.0,42.52194392633609,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,def_source,whole_state,6,4096,4,2,-3.921875,-3.921875,0.0,0,0,1,0,0.0,0.0,44.334693217944945,4096,True,"H0,H1,H2",False,
base_0000,test,ab,target,def_source,noop,6,0,4,2,-3.921875,-3.921875,0.0,0,0,1,0,0.0,0.0,44.334693217944945,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,def_target,whole_state,6,4096,4,2,-3.921875,-4.140625,-0.21875,0,0,1,0,0.4049125006980822,18.181528987005237,44.90236521633611,4096,False,"H0,H1,H2",False,
base_0000,test,ab,target,def_target,noop,6,0,4,2,-3.921875,-3.921875,0.0,0,0,1,0,0.0,0.0,44.90236521633611,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,mutation,whole_state,6,4096,4,2,-3.921875,-3.625,0.296875,0,0,1,0,0.970161553702916,41.586994043317425,42.866050385719824,4096,False,"H0,H1,H2",False,
base_0000,test,ab,target,mutation,noop,6,0,4,2,-3.921875,-3.921875,0.0,0,0,1,0,0.0,0.0,42.866050385719824,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,use,whole_state,6,4096,4,2,-3.921875,2.234375,6.15625,1,1,0,0,0.6699544399713281,29.77536704897651,44.44386852671773,4096,False,"H0,H1,H2",False,
base_0000,test,ab,target,use,noop,6,0,4,2,-3.921875,-3.921875,0.0,0,0,1,0,0.0,0.0,44.44386852671773,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,def_source,whole_state,6,4096,4,2,-2.046875,-2.046875,0.0,0,0,1,0,0.0,0.0,43.6724830744451,4096,True,"H0,H1,H2",False,
base_0000,test,ba,source,def_source,noop,6,0,4,2,-2.046875,-2.046875,0.0,0,0,1,0,0.0,0.0,43.6724830744451,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,def_target,whole_state,6,4096,4,2,-2.046875,-2.03125,0.015625,0,0,1,0,0.48452420316909356,19.74130492563409,40.74369205194192,4096,False,"H0,H1,H2",False,
base_0000,test,ba,source,def_target,noop,6,0,4,2,-2.046875,-2.046875,0.0,0,0,1,0,0.0,0.0,40.74369205194192,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,mutation,whole_state,6,4096,4,2,-2.046875,-1.5,0.546875,0,0,1,0,0.9814275135004434,41.505335799246694,42.29078075385334,4096,False,"H0,H1,H2",False,
base_0000,test,ba,source,mutation,noop,6,0,4,2,-2.046875,-2.046875,0.0,0,0,1,0,0.0,0.0,42.29078075385334,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,use,whole_state,6,4096,4,2,-2.046875,3.84375,5.890625,1,1,0,0,0.7020049698566851,30.041896820943162,42.794421850141944,4096,False,"H0,H1,H2",False,
base_0000,test,ba,source,use,noop,6,0,4,2,-2.046875,-2.046875,0.0,0,0,1,0,0.0,0.0,42.794421850141944,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,def_source,whole_state,6,4096,2,4,-4.484375,-4.46875,0.015625,0,0,1,0,0.0,0.0,43.6724830744451,4096,True,"H0,H1,H2",False,
base_0000,test,ba,target,def_source,noop,6,0,2,4,-4.484375,-4.46875,0.015625,0,0,1,0,0.0,0.0,43.6724830744451,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,def_target,whole_state,6,4096,2,4,-4.484375,-4.59375,-0.109375,0,0,1,0,0.4413273658769251,19.74130492563409,44.731658292722855,4096,False,"H0,H1,H2",False,
base_0000,test,ba,target,def_target,noop,6,0,2,4,-4.484375,-4.46875,0.015625,0,0,1,0,0.0,0.0,44.731658292722855,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,mutation,whole_state,6,4096,2,4,-4.484375,-4.15625,0.328125,0,0,1,0,0.963577445591463,41.505335799246694,43.07420850201604,4096,False,"H0,H1,H2",False,
base_0000,test,ba,target,mutation,noop,6,0,2,4,-4.484375,-4.46875,0.015625,0,0,1,0,0.0,0.0,43.07420850201604,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,use,whole_state,6,4096,2,4,-4.484375,0.6406249403953552,5.124999940395355,1,1,0,0,0.6706706759847384,30.041896820943162,44.79381296466104,4096,False,"H0,H1,H2",False,
base_0000,test,ba,target,use,noop,6,0,2,4,-4.484375,-4.46875,0.015625,0,0,1,0,0.0,0.0,44.79381296466104,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_source,whole_state,6,4096,3,2,-2.578125,-2.578125,0.0,0,0,1,0,0.0,0.0,43.12365417239383,4096,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_source,noop,6,0,3,2,-2.578125,-2.578125,0.0,0,0,1,0,0.0,0.0,43.12365417239383,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_target,whole_state,6,4096,3,2,-2.578125,-2.390625,0.1875,0,0,1,0,0.4322557645749884,18.384963316018474,42.532604126391064,4096,False,"H0,H1,H2",False,
base_0001,test,ab,source,def_target,noop,6,0,3,2,-2.578125,-2.578125,0.0,0,0,1,0,0.0,0.0,42.532604126391064,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,mutation,whole_state,6,4096,3,2,-2.578125,-0.84375,1.734375,0,0,1,0,0.9192327589681695,39.33784849120381,42.79421953516995,4096,False,"H0,H1,H2",False,
base_0001,test,ab,source,mutation,noop,6,0,3,2,-2.578125,-2.578125,0.0,0,0,1,0,0.0,0.0,42.79421953516995,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,use,whole_state,6,4096,3,2,-2.578125,0.3125,2.890625,1,1,0,0,0.6551329022707991,28.955138448658452,44.19735041286302,4096,False,"H0,H1,H2",False,
base_0001,test,ab,source,use,noop,6,0,3,2,-2.578125,-2.578125,0.0,0,0,1,0,0.0,0.0,44.19735041286302,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,def_source,whole_state,6,4096,2,3,-3.5,-3.515625,-0.015625,0,0,1,0,0.0,0.0,43.12365417239383,4096,True,"H0,H1,H2",False,
base_0001,test,ab,target,def_source,noop,6,0,2,3,-3.5,-3.5,0.0,0,0,1,0,0.0,0.0,43.12365417239383,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,def_target,whole_state,6,4096,2,3,-3.5,-3.53125,-0.03125,0,0,1,0,0.403015343807721,18.384963316018474,45.6185194893968,4096,False,"H0,H1,H2",False,
base_0001,test,ab,target,def_target,noop,6,0,2,3,-3.5,-3.5,0.0,0,0,1,0,0.0,0.0,45.6185194893968,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,mutation,whole_state,6,4096,2,3,-3.5,-3.15625,0.34375,0,0,1,0,0.8647359277321561,39.33784849120381,45.49116930340882,4096,False,"H0,H1,H2",False,
base_0001,test,ab,target,mutation,noop,6,0,2,3,-3.5,-3.5,0.0,0,0,1,0,0.0,0.0,45.49116930340882,0,True,"H0,H1,H2",False,
base_0001,test,ab,target,use,whole_state,6,4096,2,3,-3.5,0.046875,3.546875,1,1,0,0,0.6301570371258852,28.955138448658452,45.94908370891388,4096,False,"H0,H1,H2",False,
base_0001,test,ab,target,use,noop,6,0,2,3,-3.5,-3.5,0.0,0,0,1,0,0.0,0.0,45.94908370891388,0,True,"H0,H1,H2",False,
base_0001,test,ba,source,def_source,whole_state,6,4096,2,3,-3.28125,-3.265625,0.015625,0,0,1,0,0.0,0.0,45.19477149172627,4096,True,"H0,H1,H2",False,
base_0001,test,ba,source,def_source,noop,6,0,2,3,-3.28125,-3.28125,0.0,0,0,1,0,0.0,0.0,45.19477149172627,0,True,"H0,H1,H2",False,
base_0001,test,ba,source,def_target,whole_state,6,4096,2,3,-3.28125,-3.234375,0.046875,0,0,1,0,0.39427738846659516,16.508008971191234,41.86902281004091,4096,False,"H0,H1,H2",False,
base_0001,test,ba,source,def_target,noop,6,0,2,3,-3.28125,-3.28125,0.0,0,0,1,0,0.0,0.0,41.86902281004091,0,True,"H0,H1,H2",False,
base_0001,test,ba,source,mutation,whole_state,6,4096,2,3,-3.28125,-1.375,1.90625,0,0,1,0,0.920468178064412,39.335937359911604,42.73470642149562,4096,False,"H0,H1,H2",False,
base_0001,test,ba,source,mutation,noop,6,0,2,3,-3.28125,-3.28125,0.0,0,0,1,0,0.0,0.0,42.73470642149562,0,True,"H0,H1,H2",False,
base_0001,test,ba,source,use,whole_state,6,4096,2,3,-3.28125,-2.15625,1.125,0,0,1,0,0.6528081852389314,28.816863533794486,44.14292618473734,4096,False,"H0,H1,H2",False,
base_0001,test,ba,source,use,noop,6,0,2,3,-3.28125,-3.28125,0.0,0,0,1,0,0.0,0.0,44.14292618473734,0,True,"H0,H1,H2",False,
base_0001,test,ba,target,def_source,whole_state,6,4096,3,2,-4.25,-4.25,0.0,0,0,1,0,0.0,0.0,45.19477149172627,4096,True,"H0,H1,H2",False,
base_0001,test,ba,target,def_source,noop,6,0,3,2,-4.25,-4.25,0.0,0,0,1,0,0.0,0.0,45.19477149172627,0,True,"H0,H1,H2",False,
base_0001,test,ba,target,def_target,whole_state,6,4096,3,2,-4.25,-4.296875,-0.046875,0,0,1,0,0.3891191119691004,16.508008971191234,42.42405079425171,4096,False,"H0,H1,H2",False,
base_0001,test,ba,target,def_target,noop,6,0,3,2,-4.25,-4.25,0.0,0,0,1,0,0.0,0.0,42.42405079425171,0,True,"H0,H1,H2",False,
base_0001,test,ba,target,mutation,whole_state,6,4096,3,2,-4.25,-4.265625,-0.015625,0,0,1,0,0.8674781031945398,39.335937359911604,45.34516458116311,4096,False,"H0,H1,H2",False,
base_0001,test,ba,target,mutation,noop,6,0,3,2,-4.25,-4.25,0.0,0,0,1,0,0.0,0.0,45.34516458116311,0,True,"H0,H1,H2",False,
base_0001,test,ba,target,use,whole_state,6,4096,3,2,-4.25,1.265625,5.515625,1,1,0,0,0.6264367733134588,28.816863533794486,46.00123230533114,4096,False,"H0,H1,H2",False,
base_0001,test,ba,target,use,noop,6,0,3,2,-4.25,-4.25,0.0,0,0,1,0,0.0,0.0,46.00123230533114,0,True,"H0,H1,H2",False,
base_0002,calib,ab,source,def_source,whole_state,6,4096,6,5,-2.421875,-2.421875,0.0,0,0,1,0,0.0,0.0,42.518483876668235,4096,True,"H0,H1,H2",False,
base_0002,calib,ab,source,def_source,noop,6,0,6,5,-2.421875,-2.421875,0.0,0,0,1,0,0.0,0.0,42.518483876668235,0,True,"H0,H1,H2",False,
base_0002,calib,ab,source,def_target,whole_state,6,4096,6,5,-2.421875,-2.375,0.046875,0,0,1,0,0.43962016471838006,18.666611341854452,42.46077145667841,4096,False,"H0,H1,H2",False,
base_0002,calib,ab,source,def_target,noop,6,0,6,5,-2.421875,-2.421875,0.0,0,0,1,0,0.0,0.0,42.46077145667841,0,True,"H0,H1,H2",False,
