model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,jlens,erase,4.75,4.75,0.0,0.033613586809791464
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,rlens,erase,4.75,4.625,-0.125,0.03179571927539689
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,logit,erase,4.75,4.625,-0.125,0.009684413342646825
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,offtarget_j,erase,4.75,4.625,-0.125,0.049998195383584035
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,offtarget_r,erase,4.75,4.625,-0.125,0.049632550656836756
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,random,erase,4.75,4.625,-0.125,0.002285944176671838
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,random_matched,erase,4.75,4.625,-0.125,0.033613586809791464
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,jlens,erase,4.75,4.625,-0.125,0.02201555718426482
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,rlens,erase,4.75,4.75,0.0,0.016812169798080992
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,logit,erase,4.75,4.75,0.0,0.002961513665002116
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,offtarget_j,erase,4.75,4.625,-0.125,0.04440529811001601
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,offtarget_r,erase,4.75,4.75,0.0,0.0419574678169084
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,random,erase,4.75,4.625,-0.125,0.035400564401880205
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,21,random_matched,erase,4.75,4.625,-0.125,0.02201555718426482
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,22,jlens,erase,4.75,4.75,0.0,0.0075863346862257205
