model,base_id,donor_id,split,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,rho_from,rho_to,delta_frac_inner_def_name,delta_frac_inner_def_value,delta_frac_outer_def_name,delta_frac_outer_def_value,delta_frac_use_site,delta_frac_return_kw,delta_frac_signature,delta_frac_suffix,delta_frac_other,delta_frac_outer_def,delta_frac_inner_def,delta_frac_inner_def_identical,delta_frac_both_defs,binding_shift,binding_shift_identical
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,bound,1.0000002056611346,1.0000003243413589,0.007383822661694536,0.047810775475999864,-0.026776350048848097,-0.026172460095718865,-0.03126026534832163,-0.007186058839255834,0.011535992789978938,-0.009285177189970906,0.033949839274666216,-0.05294881014456693,0.055194598137694395,0.047810775475999864,0.0022457879931274682,0.10814340828226132,0.10075958562056679
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,bound,1.0000000669859348,1.0000000842140344,0.00901035602000221,0.05492303804837008,-0.027086553387223655,-0.032790586028841634,-0.040082150478471926,-0.004309296539120287,0.007555334245988032,-0.009037487322319876,0.04181736266971664,-0.05987713941606526,0.06393339406837228,0.05492303804837008,0.004056254652307079,0.12381053348443755,0.11480017746443534
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,bound,0.9999999836405916,0.9999999822707295,0.010570214764964713,0.08395523734685517,-0.036091249288301736,-0.045476579842709794,-0.03821025663523769,-0.005848963118931211,0.00913907233467294,-0.00427022710304098,0.026232750171866548,-0.08156782913101152,0.0945254521118199,0.08395523734685517,0.012957622980808381,0.1760932812428314,0.1655230664778667
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,bound,1.0000000265840387,1.0000000122540547,0.016273875771179096,0.09505356667012452,-0.0297332960063669,-0.06513969968408748,-0.03826257758784005,-0.006640133464928252,0.004299623341219007,0.0039312996355286844,0.020217326995187246,-0.0948729956904544,0.11132744244130362,0.09505356667012452,0.016454446750849172,0.20620043813175803,0.18992656236057892
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,bound,0.9999999948584717,1.0000000505805657,0.007848979779804373,0.11095169685215449,-0.014927876151579436,-0.0742764026569106,-0.03160157266380515,-0.008436460989872803,0.0020482550970793156,-0.012095973994213693,0.020489410449437584,-0.08920427880849005,0.11880067663195887,0.11095169685215449,0.029596397823468845,0.20800495544044892,0.20015597566064453
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,bound,1.000000046741167,0.9999999945247842,0.0027287313790087322,0.06799817083848146,-0.011236761461598355,-0.026024550811361378,-0.015982201904482254,-0.011640575141648497,-0.000591766438212904,-0.022499065927078177,0.017247967250508534,-0.03726131227295973,0.0707269022174902,0.06799817083848146,0.03346558994453047,0.10798821449044993,0.10525948311144119
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,23,bound,1.0000000710465737,1.0000000650833694,0.0030879962419629974,0.06050879639507244,-0.012266421109138746,-0.019803828788115357,-0.011920433412985824,-0.012121658659005715,-0.0007431011067149385,-0.017594195705216142,0.010852840180936935,-0.0320702498972541,0.06359679263703544,0.06050879639507244,0.03152654273978135,0.09566704253428954,0.09257904629232654
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,27,bound,0.9999999728901232,1.0000000057359404,0.0052036553591604025,0.02318861853722625,-0.009141019141102737,-0.01121502529771579,-0.0005997582242197042,-0.002481066294921598,-0.00029644917138371,-0.0018852169122633988,-0.002773706008962387,-0.020356044438818523,0.028392273896386648,0.02318861853722625,0.008036229457568128,0.04874831833520517,0.04354466297604477
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,other,1.0000001950970052,1.0000000162756664,0.0018282210696212733,-0.018353274975566557,0.021397567593667066,0.014985062539109056,-0.0351366214375486,-0.004286531364148229,0.009774969363161263,-0.006351621801471252,0.016142050191837176,0.03638263013277615,-0.016525053905945282,-0.018353274975566557,0.019857576226830875,-0.05290768403872143,-0.05473590510834271
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,other,1.0000000880627518,1.000000085181058,0.006422067363241165,-0.02080327516129116,0.010515333345591682,0.023118128153745667,-0.04353701127752668,-0.0006299328002642365,0.008391254052742783,-0.003966693666832638,0.020490127108899858,0.033633461499337325,-0.014381207798049994,-0.02080327516129116,0.01925225370128736,-0.04801466929738732,-0.05443673666062848
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,other,1.0000001711471662,1.0000001194055905,0.006631436950495218,-0.019752974591858215,0.004291490655994601,0.023954280761884397,-0.03858143936472948,-0.0023516643418142157,0.00977181581714992,-0.0007180770695554561,0.01675507944085769,0.028245771417878984,-0.013121537641362993,-0.019752974591858215,0.01512423377651595,-0.04136730905924198,-0.0479987460097372
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,other,1.0000001946933563,1.0000001168197368,0.013740163335486614,-0.04395074012246604,-0.005092729929813272,0.03271895645820313,-0.026230818462005027,-0.004222642274084278,0.008166952156198892,-0.0007536223174077761,0.025624403282268338,0.027626226528389863,-0.03021057678697943,-0.04395074012246604,-0.002584350258589607,-0.05783680331536929,-0.0715769666508559
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,other,1.0000001307822683,1.0000000483706721,0.008861864922776207,-0.05180113721440596,-0.0065713664150950785,0.03935007046585982,-0.026883078873130718,-0.007922584202781736,0.008187917242412614,0.002661158121633145,0.034117073541135606,0.032778704050764745,-0.042939272291629756,-0.05180113721440596,-0.010160568240865031,-0.0757179763423945,-0.08457984126517071
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,other,1.0000002029008854,1.000000111952248,0.0030290825838655538,-0.02590739349500737,-0.008978107509024454,0.04029728650950264,-0.012504248604879292,-0.012155330530900342,0.004147077255981846,-0.024313793436782527,0.036385336278606295,0.0313191790004782,-0.022878310911141814,-0.02590739349500737,0.008440868089336417,-0.05419748991162002,-0.05722657249548557
