model,base_id,arm,split,layer,question,style,variant,delta_contrast_prob,delta_contrast_z,contrast_prob_inner_member,contrast_prob_outer_member,contrast_z_inner_member,contrast_z_outer_member,n_pairs_in_lexicon,delta_z_mechanism,delta_prob_mechanism,delta_z_control,delta_prob_control,delta_z_family_scope,delta_z_family_shadowing,delta_z_family_ordinal,delta_z_family_action
deepseek-coder-6.7b,base_0000,ab,test,0,scope/direct,scope,direct,-2.2686575460124925e-05,-0.0026288595059398567,0.003979556363886999,0.004002242939347124,0.22144691552045162,0.22407577502639148,10,0.0015146700220593167,7.000259207106492e-05,-0.0007540967549649681,2.049059805805161e-05,-0.001346946698432716,-0.00018415109486381864,-0.007862035492438487,0.0014347246532556007
deepseek-coder-6.7b,base_0000,ba,test,0,scope/direct,scope,direct,-2.268865049511598e-05,-0.002624974608099989,0.003995353954451331,0.0040180426049464465,0.22231582522396878,0.22494079983206877,10,0.0015308063349919604,7.064915125427635e-05,-0.0007580013782565733,1.9960427106083646e-05,-0.0013738375644271501,-0.0001796290900889369,-0.00784049636006177,0.0014733611734914637
deepseek-coder-6.7b,base_0001,ab,test,0,scope/direct,scope,direct,-2.09762953230358e-05,0.000622098250888603,0.003979691187643068,0.004000667482966104,0.2273226204563815,0.2267005222054929,10,-4.89749679860374e-05,2.0639434132731747e-05,0.002833643452059497,0.0002471937282496296,-0.0013376581791291458,0.005784622620958954,0.004345283661723486,-0.0036244291903631543
deepseek-coder-6.7b,base_0001,ba,test,0,scope/direct,scope,direct,-2.084594481339269e-05,0.0006262451232543209,0.003981382763962926,0.004002228708776319,0.2276092065708341,0.2269829614475798,10,-3.7176791140785165e-05,2.1008529846586622e-05,0.0028288860455859596,0.00024675907940569777,-0.0013490219786542728,0.00580945778586027,0.00435290658969852,-0.0036048192038982824
deepseek-coder-6.7b,base_0002,ab,calib,0,scope/direct,scope,direct,-5.391343526880976e-05,-0.004819276988679039,0.003837065551178173,0.003890978986446983,0.21337151401444585,0.21819079100312488,10,-0.005904035629158065,-0.00012934521853729232,0.0003747095397489298,0.0002707164507815445,-0.017360527077571537,-0.004080573327903819,-0.0016443749209489877,0.015131518257122945
deepseek-coder-6.7b,base_0002,ba,calib,0,scope/direct,scope,direct,-5.4082554410229966e-05,-0.004828443156693951,0.0038354178546612244,0.0038895004090714544,0.21323270242376843,0.21806114558046238,10,-0.005900107993329398,-0.00012930632046551614,0.0003720722252181,0.00026989163769651535,-0.01735778320963237,-0.0040981508346466244,-0.0016893853749345347,0.015156504115520136
deepseek-coder-6.7b,base_0003,ab,test,0,scope/direct,scope,direct,0.00013513328148003628,0.007183599190328405,0.004063370336320225,0.003928237054840189,0.23217106076024102,0.22498746156991262,10,0.0047286063493993825,0.00031963834129868475,-0.0011735382244277032,0.00012882892045865666,0.002067193177929534,0.002615244884074719,0.004706896555596492,0.0234156423203509
deepseek-coder-6.7b,base_0003,ba,test,0,scope/direct,scope,direct,0.00013541598919670356,0.007198808367259446,0.004061159798036375,0.003925743808839671,0.23184347964541524,0.2246446712781558,10,0.004727285708825412,0.0003198790226106988,-0.001174507106781636,0.00012842269401126924,0.002100036904683498,0.00256480436235465,0.004756291182997141,0.023377129071257302
deepseek-coder-6.7b,base_0004,ab,test,0,scope/direct,scope,direct,-8.50416024231887e-05,-0.004024330205321641,0.003925043574720927,0.004010085177144115,0.2229941950430232,0.22701852524834484,10,0.005310346679406695,0.00019046910546424234,-9.067767390225599e-05,-0.000102033643482616,-0.00019538628072295755,-0.0016772312739699174,-0.011923900523560073,-0.0010064120428371903
deepseek-coder-6.7b,base_0004,ba,test,0,scope/direct,scope,direct,-8.500978548382776e-05,-0.0040158290271465336,0.003899626093270381,0.0039846358787542085,0.22154556671924175,0.22556139574638828,10,0.005303005644901867,0.00019044537761561762,-8.630001648503478e-05,-0.00010118805419202293,-0.00018378139304260112,-0.0016120995040123515,-0.01193595420002236,-0.001001601297608179
