model,base_id,donor_id,split,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,rho_from,rho_to,delta_frac_inner_def_name,delta_frac_inner_def_value,delta_frac_outer_def_name,delta_frac_outer_def_value,delta_frac_use_site,delta_frac_return_kw,delta_frac_signature,delta_frac_question_var,delta_frac_question,delta_frac_other,delta_frac_outer_def,delta_frac_inner_def,delta_frac_inner_def_identical,delta_frac_both_defs,delta_frac_question_all,binding_shift,binding_shift_identical
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,inner,0.9999997388976563,0.9999999796675457,0.0016380676574730153,0.0031669995529866237,-0.007977825168329566,0.001844841015249391,-0.003593322454355871,-0.0016315988820138324,0.012712008369611161,0.0030379267624172594,-0.01825633022138129,0.009059474138232437,-0.006132984153080168,0.004805067210459639,0.0031669995529866237,-0.0013279169426205772,-0.015218403458964025,0.010938051363539807,0.009299983706066791
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,inner,0.9999999573753865,1.000000025002786,0.0021678523922733705,0.004477266820593945,-0.007048192850198809,0.0008723071195995631,-0.0048250199924677935,-7.220266674523926e-05,0.010797610859542556,0.0021272111049432246,-0.01624723604700795,0.0077504708868669225,-0.00617588573059924,0.0066451192128673155,0.004477266820593945,0.00046923348226801664,-0.014120024942064713,0.012821004943466555,0.010653152551193184
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,inner,0.9999999162771018,1.0000000337773487,0.005902599911824567,0.005831169232936725,-0.007141566515856401,0.0006030055235892631,-0.0012141213790409326,-0.00036882466293628336,0.001606609844292308,0.005063184400071932,-0.02263644986887592,0.012354511014241537,-0.006538560992267156,0.011733769144761291,0.005831169232936725,0.005195208152494135,-0.017573265468804,0.018272330137028447,0.012369730225203882
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,inner,0.9999999661705444,1.0000001249195805,0.00894332540422442,0.005665646565586011,-0.007534664108784228,0.00024958340892786927,0.004779701654701545,-0.0021743721323412178,-0.006279822716604894,0.006903901375505381,-0.024930945914859448,0.014377805212680672,-0.007285080699856339,0.01460897196981043,0.005665646565586011,0.007323891269954114,-0.01802704453935411,0.02189405266966677,0.01295072726544235
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,inner,0.9999999808833551,1.0000000536852276,0.004473487060383785,0.007204843144726095,-0.004743421736972189,-0.0011125165401521346,0.0020557216229595858,-0.0022081029729887304,-0.006962417463854384,0.009270071797037054,-0.018366617321377787,0.010389025212111214,-0.0058559382771243285,0.011678330205109878,0.007204843144726095,0.00582239192798556,-0.009096545524340804,0.017534268482234206,0.013060781421850423
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,inner,1.0000000044038344,1.0000000201909292,0.003148777414233946,0.008057407997103704,-0.005601544145814555,-0.0012799012030083057,-0.0016130473841234434,-0.00240608334897278,-0.009390670706886033,0.007196572304191835,-0.005494978096441505,0.007383482956811849,-0.006881445348822859,0.011206185411337652,0.008057407997103704,0.0043247400625147925,0.00170159420775029,0.01808763076016051,0.014938853345926564
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,23,inner,1.0000000145126362,1.000000052954014,0.0018110450988500296,0.009504152455199134,-0.004441276968153232,-0.00028638819694261873,-0.003782284455480743,-0.002024952844820907,-0.00841196308967197,0.0045620136032357645,-0.0038483704190601653,0.006918063258222598,-0.004727665165095849,0.011315197554049163,0.009504152455199134,0.006587532388953314,0.0007136431841756607,0.016042862719145012,0.014231817620294983
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,27,inner,1.0000000256223096,1.0000000696304006,0.001633669201905238,0.0017259201519869041,-0.0037152108180690127,-0.00023390203201557576,-0.0022573868419571283,-0.000377271003545497,-0.006295809681767371,4.722957528776467e-05,0.0060896301284799614,0.0033831753277858423,-0.003949112850084588,0.0033595893538921422,0.0017259201519869041,-0.0005895234961924463,0.00613685970376765,0.00730870220397673,0.005675033002071492
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,outer,0.9999998696236526,1.0000000968930085,0.0016035070541389233,0.002509361560692186,-0.01495603388324318,0.002136808842720824,-0.004867903736476863,-0.00033178807887577697,0.008177359675503195,0.0013016440509618261,0.00050897352854401,0.003918298255390362,-0.012819225040522353,0.004112868614831109,0.002509361560692186,-0.00870635642569123,0.001810617579505791,0.01693209365535346,0.015328586601214538
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,outer,1.0000000869398173,1.0000000968234848,0.0022572486201159134,0.0034296969896162608,-0.012002537394739998,0.0013274188391287252,-0.005826226839652905,0.0012174232949980456,0.00678179215088862,-0.0010927472185085722,0.004072509238072786,-0.0001645677962514025,-0.010675118555611263,0.005686945609732174,0.0034296969896162608,-0.00498817294587911,0.0029797620195641805,0.016362064165343436,0.014104815545227523
