gate,meaning,owner_stage,recorded,passed,value,override,detail,superseded
H0,"the four-program factorial verifies: invariants, alignment, execution truth",101_binding_verify,True,True,1.0,False,"1.0000 of 200 bases agree with an independent interpreter and satisfy every invariant, including the arm crossing that makes the held-out test a falsification (threshold 0.999). Per check: semantics_agree 1.0000, arms_crossed 1.0000, mutation_distance_ok 1.0000, anchors_ordered 1.0000, values_distinct 1.0000, tokens_distinct 1.0000",False
H1,the model returns the correctly bound variable (behavioural accuracy),102_binding_behaviour,True,False,0.8089285714285714,False,"overall 0.809 [0.779, 0.838] against 0.85; weakest cell ab_target 0.571 against 0.75",False
H2,which definition is in scope is decodable at the use anchor,104_binding_decode,False,False,,False,not recorded,False
H3,"whole-state interchange flips the answer — the ceiling, per arm",105_binding_ceiling,False,False,,False,not recorded,False
H4,low-rank interchange beats matched controls on the TRAINING arm,106_binding_interchange,False,False,,False,not recorded,False
H5,"the same subspace transfers to the HELD-OUT value assignment, where an answer direction cannot",106_binding_interchange,False,False,,False,not recorded,False
H6,"the relevance readout is mechanically sound: the LRP rules actually installed so relevance conserves, the token roles partition every token exactly once, the per-role deltas close to the difference of the two conservation ratios, every binding_flip pair differs at exactly one measured token index, the fixed-target conditions really do score both members at one token, and every declared cell exists",140_binding_relevance,True,True,19200.0,False,"9600 readings and 19200 paired contrasts over 4 contrasts x 6 layers x 4 target conditions; median |rho-1| 1.56e-07; conserving layers [0, 3, 7, 11, 15, 19]; LRP rules bound {'ln': 49, 'mlp': 24, 'attn': 24}",False
H7,"the candidate vocabulary is mechanically sound: every declared lexicon pair is kept whole or dropped whole with a reason, enough pairs survive from more than one family, discovery ran on calibration bases only and the frozen file records which, and the candidate set contains the lexicon, the discovered pool and the random controls without duplicates",150_binding_verbal_discover,True,True,225.0,False,"10 lexicon pairs from 4 families, 15 mechanism words, 225 candidates (160 discovered, 32 random) over 60 calib bases",False
H8,"the forced choice is mechanically sound: every declared (base, cell, question) is scored, the rendered question is identical in all four cells of a base, no question names the inner definition, both choices are distinct single tokens, both variants of every word style ran, and the value positive control ran",151_binding_verbal_behaviour,True,True,7200.0,False,7200 scored choices over 9 questions x 200 bases x 4 cells; report split test,False
H9,"the verbalisation relevance readout is mechanically sound: H6's checks on the verbalisation prompt, plus a positive-score condition — `R_t / s` is a share only when the score is positive, and conservation holds for negative scores too",152_binding_verbal_relevance,True,True,24000.0,False,"14400 readings and 24000 paired contrasts over 4 contrasts x 6 layers x 5 target conditions for scope/direct; median |rho-1| 3.03e-07; readable layers [0, 3, 7, 11, 15, 19]; LRP rules bound {'ln': 49, 'mlp': 24, 'attn': 24}",False
H10,"the unprompted vocabulary readout is mechanically sound: every declared lexicon pair kept whole or dropped whole with a reason, the candidate row order the margin arithmetic assumes, all three readouts carrying the same rows with their kinds declared and the random control actually Gram-matched, the scored text being E13's program verbatim with the encodings agreeing through the use position, the use token identical in all four cells, every declared cell present in both arms over the declared layer grid, and the positive control fitted on calibration and read on test",160_binding_lexlens,False,False,,False,not recorded,False
