lens,layer,family,read,n,median_rank,mean_margin,pass@1,pass@10,pass@25
j-lens,0,alias,answer,10,29275.5,-4.09697265625,0.0,0.0,0.0
j-lens,1,alias,answer,10,6923.5,-0.2447265625,0.0,0.0,0.0
j-lens,2,alias,answer,10,802.5,3.5962890625,0.0,0.0,0.0
j-lens,3,alias,answer,10,1332.5,1.789306640625,0.0,0.0,0.0
j-lens,4,alias,answer,10,10951.0,0.32159423828125,0.0,0.0,0.0
j-lens,5,alias,answer,10,79.0,6.294921875,0.0,0.0,0.1
j-lens,6,alias,answer,10,1001.5,2.028369140625,0.0,0.0,0.0
j-lens,7,alias,answer,10,471.0,2.7994140625,0.0,0.0,0.0
j-lens,8,alias,answer,10,2912.0,0.9390625,0.0,0.0,0.0
j-lens,9,alias,answer,10,507.5,2.6494140625,0.0,0.0,0.0
j-lens,10,alias,answer,10,1920.0,0.6744140625,0.0,0.0,0.0
j-lens,11,alias,answer,10,454.5,2.236395263671875,0.0,0.0,0.0
j-lens,12,alias,answer,10,851.0,2.2212890625,0.0,0.0,0.0
j-lens,13,alias,answer,10,668.5,2.0572265625,0.0,0.0,0.0
j-lens,14,alias,answer,10,1684.5,0.93203125,0.0,0.0,0.0
j-lens,15,alias,answer,10,992.0,1.320208740234375,0.0,0.0,0.0
j-lens,16,alias,answer,10,1132.5,0.94423828125,0.0,0.0,0.0
j-lens,17,alias,answer,10,173.0,2.6330078125,0.0,0.0,0.0
j-lens,18,alias,answer,10,87.0,3.1673583984375,0.0,0.0,0.0
j-lens,19,alias,answer,10,46.0,3.316796875,0.0,0.0,0.1
j-lens,20,alias,answer,10,19.5,3.66328125,0.0,0.1,0.6
j-lens,21,alias,answer,10,4.5,7.36796875,0.0,1.0,1.0
j-lens,22,alias,answer,10,2.5,7.72109375,0.1,1.0,1.0
j-lens,23,alias,answer,10,2.0,6.75234375,0.0,1.0,1.0
j-lens,24,alias,answer,10,1.0,7.7484375,0.3,1.0,1.0
j-lens,25,alias,answer,10,0.0,10.940625,1.0,1.0,1.0
j-lens,26,alias,answer,10,0.0,12.053125,1.0,1.0,1.0
j-lens,27,alias,answer,10,0.0,13.4828125,1.0,1.0,1.0
j-lens,28,alias,answer,10,0.0,18.7703125,1.0,1.0,1.0
j-lens,29,alias,answer,10,0.0,22.190625,1.0,1.0,1.0
j-lens,30,alias,answer,10,0.0,25.05,1.0,1.0,1.0
j-lens,0,alias,use,10,22079.0,-4.8484619140625,0.0,0.0,0.0
j-lens,1,alias,use,10,6589.0,-1.511651611328125,0.0,0.0,0.0
j-lens,2,alias,use,10,1059.0,1.829913330078125,0.0,0.0,0.0
j-lens,3,alias,use,10,866.5,1.792559814453125,0.0,0.0,0.0
j-lens,4,alias,use,10,1207.5,1.441015625,0.0,0.0,0.0
j-lens,5,alias,use,10,103.5,6.396484375,0.0,0.1,0.1
j-lens,6,alias,use,10,200.0,4.291015625,0.0,0.0,0.0
j-lens,7,alias,use,10,133.0,4.22763671875,0.0,0.0,0.0
j-lens,8,alias,use,10,306.0,2.5376953125,0.0,0.0,0.0
j-lens,9,alias,use,10,356.0,2.469140625,0.0,0.0,0.0
j-lens,10,alias,use,10,298.0,3.2547607421875,0.0,0.0,0.0
j-lens,11,alias,use,10,243.0,2.9365478515625,0.0,0.0,0.0
j-lens,12,alias,use,10,225.5,2.6890625,0.0,0.0,0.0
j-lens,13,alias,use,10,393.5,2.2109375,0.0,0.0,0.0
j-lens,14,alias,use,10,736.0,0.70587158203125,0.0,0.0,0.0
j-lens,15,alias,use,10,1118.0,-0.23037109375,0.0,0.0,0.0
j-lens,16,alias,use,10,2046.5,-0.40380859375,0.0,0.0,0.0
j-lens,17,alias,use,10,956.0,-0.12109375,0.0,0.0,0.0
j-lens,18,alias,use,10,1778.0,-1.1859375,0.0,0.0,0.0
j-lens,19,alias,use,10,1440.0,-1.19990234375,0.0,0.0,0.0
j-lens,20,alias,use,10,1229.0,-1.53359375,0.0,0.0,0.0
j-lens,21,alias,use,10,1204.0,-1.4640625,0.0,0.0,0.0
j-lens,22,alias,use,10,2204.0,-2.1998046875,0.0,0.0,0.0
j-lens,23,alias,use,10,3360.5,-2.9753662109375,0.0,0.0,0.0
j-lens,24,alias,use,10,3817.5,-4.602593994140625,0.0,0.0,0.0
j-lens,25,alias,use,10,2193.0,-4.57216796875,0.0,0.0,0.0
j-lens,26,alias,use,10,1460.5,-5.54669189453125,0.0,0.0,0.0
j-lens,27,alias,use,10,625.5,-5.93447265625,0.0,0.0,0.0
j-lens,28,alias,use,10,418.5,-5.6585693359375,0.0,0.0,0.0
j-lens,29,alias,use,10,149.5,-2.12109375,0.0,0.0,0.0
j-lens,30,alias,use,10,112.0,1.67734375,0.0,0.0,0.0
j-lens,0,arith,answer,10,28217.5,0.8015625,0.0,0.0,0.0
j-lens,1,arith,answer,10,7233.0,0.856787109375,0.0,0.0,0.0
j-lens,2,arith,answer,10,1116.0,-0.2169921875,0.0,0.0,0.0
j-lens,3,arith,answer,10,4006.5,0.05234375,0.0,0.0,0.0
j-lens,4,arith,answer,10,9825.0,0.611639404296875,0.0,0.0,0.0
j-lens,5,arith,answer,10,108.0,-1.5484375,0.0,0.0,0.0
j-lens,6,arith,answer,10,1212.0,0.109765625,0.0,0.0,0.0
j-lens,7,arith,answer,10,637.5,-0.0546875,0.0,0.0,0.0
j-lens,8,arith,answer,10,2323.5,-0.23828125,0.0,0.0,0.0
j-lens,9,arith,answer,10,970.0,-0.684375,0.0,0.0,0.0
j-lens,10,arith,answer,10,3214.5,-0.8203125,0.0,0.0,0.0
j-lens,11,arith,answer,10,1489.0,-0.75078125,0.0,0.0,0.0
j-lens,12,arith,answer,10,1284.0,-0.384375,0.0,0.0,0.0
j-lens,13,arith,answer,10,3362.5,-0.2984375,0.0,0.0,0.0
j-lens,14,arith,answer,10,3871.0,-0.2375,0.0,0.0,0.0
j-lens,15,arith,answer,10,10316.5,-0.869921875,0.0,0.0,0.0
j-lens,16,arith,answer,10,11268.0,-1.0263671875,0.0,0.0,0.0
j-lens,17,arith,answer,10,5574.0,-2.1103515625,0.0,0.0,0.0
j-lens,18,arith,answer,10,4973.5,-2.6703125,0.0,0.0,0.0
j-lens,19,arith,answer,10,3299.0,-3.38203125,0.0,0.0,0.0
j-lens,20,arith,answer,10,3029.0,-3.67109375,0.0,0.0,0.0
j-lens,21,arith,answer,10,1622.0,-4.196875,0.0,0.0,0.0
j-lens,22,arith,answer,10,707.0,-0.7796875,0.0,0.0,0.0
j-lens,23,arith,answer,10,79.0,1.6765625,0.0,0.0,0.1
j-lens,24,arith,answer,10,4.5,6.753125,0.2,0.7,0.9
j-lens,25,arith,answer,10,0.0,9.1984375,1.0,1.0,1.0
j-lens,26,arith,answer,10,0.0,11.5359375,1.0,1.0,1.0
j-lens,27,arith,answer,10,0.0,13.10625,1.0,1.0,1.0
j-lens,28,arith,answer,10,0.0,16.93125,1.0,1.0,1.0
j-lens,29,arith,answer,10,0.0,14.44375,1.0,1.0,1.0
j-lens,30,arith,answer,10,0.0,12.425,1.0,1.0,1.0
j-lens,0,arith,use,10,24668.5,0.0884765625,0.0,0.0,0.0
j-lens,1,arith,use,10,7378.0,-0.8358154296875,0.0,0.0,0.0
j-lens,2,arith,use,10,1110.5,-2.3181640625,0.0,0.0,0.0
j-lens,3,arith,use,10,2370.5,-1.838641357421875,0.0,0.0,0.0
j-lens,4,arith,use,10,4011.5,-1.261773681640625,0.0,0.0,0.0
j-lens,5,arith,use,10,108.5,-3.8859375,0.0,0.0,0.0
j-lens,6,arith,use,10,471.5,-1.49140625,0.0,0.0,0.0
j-lens,7,arith,use,10,254.0,-2.071875,0.0,0.0,0.0
j-lens,8,arith,use,10,382.5,-1.440625,0.0,0.0,0.0
j-lens,9,arith,use,10,577.5,-2.26171875,0.0,0.0,0.0
j-lens,10,arith,use,10,223.5,-1.165625,0.0,0.0,0.0
j-lens,11,arith,use,10,176.0,-1.309375,0.0,0.0,0.0
j-lens,12,arith,use,10,177.0,-1.50625,0.0,0.0,0.0
j-lens,13,arith,use,10,317.5,-1.671875,0.0,0.0,0.0
j-lens,14,arith,use,10,578.0,-1.36015625,0.0,0.0,0.0
j-lens,15,arith,use,10,512.5,-1.3625,0.0,0.0,0.0
j-lens,16,arith,use,10,2205.0,-1.215625,0.0,0.0,0.0
j-lens,17,arith,use,10,1014.0,-1.31640625,0.0,0.0,0.0
j-lens,18,arith,use,10,1296.5,-1.2359375,0.0,0.0,0.0
j-lens,19,arith,use,10,1218.0,-1.08671875,0.0,0.0,0.0
j-lens,20,arith,use,10,1184.5,-1.49375,0.0,0.0,0.0
j-lens,21,arith,use,10,2988.0,-1.648828125,0.0,0.0,0.0
j-lens,22,arith,use,10,3762.0,-1.18828125,0.0,0.0,0.0
j-lens,23,arith,use,10,4635.0,-1.12744140625,0.0,0.0,0.0
j-lens,24,arith,use,10,6304.5,-1.47838134765625,0.0,0.0,0.0
j-lens,25,arith,use,10,4346.5,-1.540234375,0.0,0.0,0.0
j-lens,26,arith,use,10,2472.5,-1.672265625,0.0,0.0,0.0
j-lens,27,arith,use,10,948.5,-1.90911865234375,0.0,0.0,0.0
j-lens,28,arith,use,10,725.5,-2.3900390625,0.0,0.0,0.0
j-lens,29,arith,use,10,279.0,-3.46171875,0.0,0.0,0.0
j-lens,30,arith,use,10,159.5,-4.296875,0.0,0.0,0.0
j-lens,0,binding,answer,20,29387.5,0.000390625,0.0,0.0,0.0
j-lens,1,binding,answer,20,7208.5,-0.0025390625,0.0,0.0,0.0
j-lens,2,binding,answer,20,682.0,0.001617431640625,0.0,0.0,0.0
j-lens,3,binding,answer,20,1789.5,0.004082489013671875,0.0,0.0,0.0
j-lens,4,binding,answer,20,8972.0,-0.0045928955078125,0.0,0.0,0.0
j-lens,5,binding,answer,20,115.0,-0.00859375,0.0,0.0,0.1
j-lens,6,binding,answer,20,1107.0,-0.00758056640625,0.0,0.0,0.0
j-lens,7,binding,answer,20,774.5,-0.0119140625,0.0,0.0,0.0
j-lens,8,binding,answer,20,3225.5,0.0029541015625,0.0,0.0,0.0
j-lens,9,binding,answer,20,885.0,0.0109375,0.0,0.0,0.0
j-lens,10,binding,answer,20,2105.0,0.00908203125,0.0,0.0,0.0
j-lens,11,binding,answer,20,615.5,0.01328125,0.0,0.0,0.0
j-lens,12,binding,answer,20,1042.0,0.00625,0.0,0.0,0.0
j-lens,13,binding,answer,20,1667.5,0.0203125,0.0,0.0,0.0
j-lens,14,binding,answer,20,3613.0,-0.051214599609375,0.0,0.0,0.0
j-lens,15,binding,answer,20,3801.5,0.16015625,0.0,0.0,0.0
j-lens,16,binding,answer,20,4455.5,0.143603515625,0.0,0.0,0.0
j-lens,17,binding,answer,20,363.0,1.867578125,0.0,0.0,0.0
j-lens,18,binding,answer,20,87.5,2.911328125,0.0,0.0,0.05
j-lens,19,binding,answer,20,37.5,3.01953125,0.0,0.05,0.25
j-lens,20,binding,answer,20,31.5,3.501171875,0.0,0.15,0.45
j-lens,21,binding,answer,20,9.5,5.104296875,0.05,0.5,0.9
j-lens,22,binding,answer,20,5.5,5.452734375,0.15,0.6,0.9
j-lens,23,binding,answer,20,4.0,4.846875,0.05,0.7,0.95
