example_id,layer,t,step_index,truth,model_says,model_correct,probe_says,probe_correct,random_says,random_correct
synthetic_taint_1_770841,-1,2,1,1,1,True,1,True,0,False
synthetic_taint_1_770841,-1,3,2,1,1,True,1,True,0,False
synthetic_taint_1_770841,-1,4,3,1,1,True,1,True,0,False
synthetic_taint_1_770841,-1,5,4,1,1,True,1,True,0,False
synthetic_taint_1_770841,-1,6,5,1,1,True,1,True,1,True
synthetic_taint_1_770841,-1,7,6,0,0,True,1,False,1,False
synthetic_taint_1_770841,-1,8,7,0,1,False,1,False,0,True
synthetic_taint_1_770841,0,2,1,1,1,True,1,True,1,True
synthetic_taint_1_770841,0,3,2,1,1,True,1,True,0,False
synthetic_taint_1_770841,0,4,3,1,1,True,1,True,1,True
synthetic_taint_1_770841,0,5,4,1,1,True,1,True,1,True
synthetic_taint_1_770841,0,6,5,1,1,True,1,True,1,True
synthetic_taint_1_770841,0,7,6,0,0,True,0,True,0,True
synthetic_taint_1_770841,0,8,7,0,1,False,0,True,0,True
synthetic_taint_1_770841,3,2,1,1,1,True,0,False,1,True
synthetic_taint_1_770841,3,3,2,1,1,True,0,False,1,True
synthetic_taint_1_770841,3,4,3,1,1,True,0,False,1,True
synthetic_taint_1_770841,3,5,4,1,1,True,0,False,1,True
synthetic_taint_1_770841,3,6,5,1,1,True,0,False,1,True
synthetic_taint_1_770841,3,7,6,0,0,True,0,True,0,True
synthetic_taint_1_770841,3,8,7,0,1,False,0,True,0,True
synthetic_taint_1_770841,7,2,1,1,1,True,1,True,1,True
synthetic_taint_1_770841,7,3,2,1,1,True,1,True,1,True
synthetic_taint_1_770841,7,4,3,1,1,True,1,True,1,True
synthetic_taint_1_770841,7,5,4,1,1,True,1,True,1,True
synthetic_taint_1_770841,7,6,5,1,1,True,1,True,1,True
synthetic_taint_1_770841,7,7,6,0,0,True,0,True,0,True
synthetic_taint_1_770841,7,8,7,0,1,False,0,True,0,True
synthetic_taint_1_770841,11,2,1,1,1,True,1,True,0,False
synthetic_taint_1_770841,11,3,2,1,1,True,1,True,1,True
synthetic_taint_1_770841,11,4,3,1,1,True,1,True,0,False
synthetic_taint_1_770841,11,5,4,1,1,True,1,True,0,False
synthetic_taint_1_770841,11,6,5,1,1,True,1,True,0,False
synthetic_taint_1_770841,11,7,6,0,0,True,0,True,0,True
synthetic_taint_1_770841,11,8,7,0,1,False,0,True,0,True
synthetic_taint_1_770841,15,2,1,1,1,True,1,True,1,True
synthetic_taint_1_770841,15,3,2,1,1,True,1,True,1,True
synthetic_taint_1_770841,15,4,3,1,1,True,1,True,1,True
synthetic_taint_1_770841,15,5,4,1,1,True,1,True,1,True
synthetic_taint_1_770841,15,6,5,1,1,True,1,True,1,True
synthetic_taint_1_770841,15,7,6,0,0,True,1,False,1,False
synthetic_taint_1_770841,15,8,7,0,1,False,0,True,1,False
synthetic_taint_1_770841,19,2,1,1,1,True,1,True,0,False
synthetic_taint_1_770841,19,3,2,1,1,True,1,True,1,True
synthetic_taint_1_770841,19,4,3,1,1,True,1,True,1,True
synthetic_taint_1_770841,19,5,4,1,1,True,1,True,1,True
synthetic_taint_1_770841,19,6,5,1,1,True,1,True,1,True
synthetic_taint_1_770841,19,7,6,0,0,True,0,True,1,False
synthetic_taint_1_770841,19,8,7,0,1,False,0,True,0,True
synthetic_taint_1_770841,23,2,1,1,1,True,1,True,0,False
