model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,base_id,family,structure,orientation,taint_delta_contrast_z,taint_delta_contrast_prob,taint_contrast_z_unsafe,taint_contrast_z_safe,model_delta_margin,model_margin_unsafe,model_margin_safe,model_correct_unsafe,model_correct_safe,security_delta_contrast_z,security_delta_contrast_prob
deepseek-coder-1.3b,clens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,0.0,-0.3125000596046448,-0.3125000596046448,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,0.03125,-0.484375,-0.515625,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,0.015625,-0.3125,-0.328125,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,0.015625,-0.46875,-0.484375,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,-0.046875,-0.453125,-0.40625,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,-0.015625,-0.671875,-0.65625,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,5.960464477539063e-08,-0.34375,-0.3437500596046448,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,0.03125,-0.53125,-0.5625,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,-0.015625,-0.171875,-0.15625,0,1,0.0,0.0
deepseek-coder-1.3b,clens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.8252614772621331,-0.8252614772621331,-0.015625,-0.5,-0.484375,0,1,0.0,0.0
