pair_id,base_id,template,op_family,split,direction,position,site_kind,site,layer,band_layers,variant,bound_value,swapped_in_value,bound_answer,target_answer,logp_clean_bound,logp_clean_other,logp_patched_bound,logp_patched_other,ld_clean,ld_patched,delta_ld,flipped_to_target,clean_argmax_id,patched_argmax_id,swap_coord_source,swap_coord_target,swap_coord_gap,swap_delta_norm,swap_delta_norm_ratio,swap_subspace_cosine,swap_degenerate,both_counterfactuals_correct
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L8,8,8,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16373760998249054,-4.648112773895264,-4.484375,-4.484375,0.0,False,20,20,7.973551573858813,4.3813405878357,3.5922109860231135,0.1945549375001091,0.0031161755835433557,0.9131318659667804,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L8,8,8,logit_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16752004623413086,-4.636270046234131,-4.484375,-4.46875,0.015625,False,20,20,-0.16204300638163116,0.5698769349273558,-0.731919941308987,1.0520006011951397,0.016849834958906594,0.8475223950143839,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L8,8,8,gram_random,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.1638336479663849,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,10.75914520069459,0.5823292766534722,10.176815924041119,0.5511785906327189,0.00882819674674437,0.9131318657412297,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L8,8,8,noop_same_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,5.860556112968393,5.860556112968392,8.881784197001252e-16,0.0,0.0,1.0000000000000027,True,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L8,8,8,clens_answer,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16505007445812225,-4.649425029754639,-4.484375,-4.484375,0.0,False,20,20,-4.499717713764193,11.145964465369564,-15.645682179133757,0.6098018713255853,0.00976716256416145,0.946671791573749,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L8,8,8,whole_state,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-3.46524977684021,-0.152749702334404,-4.484375,3.3125,7.796875,True,20,22,,,,46.80415344238281,,,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L16,16,16,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.163833349943161,-4.648208141326904,-4.484375,-4.484375,0.0,False,20,20,19.055804590755585,6.477136634394046,12.578667956361539,0.7714254057860365,0.005376870894027361,0.8745324946959456,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L16,16,16,logit_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.1648796647787094,-4.64925479888916,-4.484375,-4.484375,0.0,False,20,20,1.1288495088660029,-0.13727374270236237,1.2661232515683651,1.819819828183592,0.012684228692940135,0.8475223950143839,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L16,16,16,gram_random,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383343935012817,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,23.996697455986983,-3.2925481419913467,27.28924559797833,1.673596715270626,0.011665046807097667,0.8745324945612903,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L16,16,16,noop_same_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,12.168399311980114,12.168399311980114,0.0,0.0,0.0,1.0000000000000013,True,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L16,16,16,clens_answer,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16370339691638947,-4.648078441619873,-4.484375,-4.484375,0.0,False,20,20,61.14046993707627,-30.565657623588358,91.70612756066463,4.492573242878343,0.031313444083819315,0.9070694259347466,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L16,16,16,whole_state,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.17315514385700226,-4.579405307769775,-4.484375,-4.40625,0.078125,False,20,20,,,,116.88175201416016,,,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L24,24,24,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383343935012817,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,65.92564422874099,58.75688049560238,7.168763733138611,0.49772831908910026,0.0016986583425574033,0.8330280470273131,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L24,24,24,logit_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383273899555206,-4.648207664489746,-4.484375,-4.484375,0.0,False,20,20,2.71006272800382,0.5497899373148716,2.1602727906889485,3.104995705521942,0.010596798808720343,0.8475223950143839,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L24,24,24,gram_random,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16512800753116608,-4.649503231048584,-4.484375,-4.484375,0.0,False,20,20,51.180379328818475,-13.567145196900945,64.74752452571943,4.495430151155433,0.015342104591555859,0.8330280465230789,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L24,24,24,noop_same_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,56.70117511041519,56.70117511041518,1.4210854715202004e-14,0.0,0.0,1.0000000000000016,True,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L24,24,24,clens_answer,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383294761180878,-4.648208141326904,-4.484375,-4.484375,0.0,False,20,20,127.86321681100112,-20.62715401127631,148.49037082227744,8.25791439628076,0.028182794997557898,0.8853278328762942,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L24,24,24,whole_state,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16369116306304932,-4.61681604385376,-4.484375,-4.453125,0.03125,False,20,20,,,,207.80303955078125,,,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L31,31,31,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,1079.8961465965197,213.59871495573728,866.2974316407824,41.04362346493841,0.03459168875325903,0.8475218958564099,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L31,31,31,logit_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,35.58823654675024,7.050033580655483,28.538202966094754,41.018429725617274,0.034570455394321506,0.8475223950143839,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L31,31,31,gram_random,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,-95.57585120736962,10.80241665912051,-106.37826786649013,5.040012148746589,0.004247737330282709,0.8475218955305133,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L31,31,31,noop_same_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,630.5292526225969,630.5292526225971,-2.2737367544323206e-13,0.0,0.0,1.0000000000000022,True,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L31,31,31,clens_answer,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,909.5788759034325,168.56088038796292,741.0179955154696,34.595088032711544,0.029156843782114878,0.852726334341365,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L31,31,31,whole_state,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,,,,344.4475402832031,,,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L8+16+24,8,8+16+24,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16400475800037384,-4.648379802703857,-4.484375,-4.484375,0.0,False,20,20,7.973551573858813,4.3813405878357,3.5922109860231135,0.1945549375001091,0.0031161755835433557,0.9131318659667804,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L8+16+24,8,8+16+24,logit_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16542568802833557,-4.649800777435303,-4.484375,-4.484375,0.0,False,20,20,-0.16204300638163116,0.5698769349273558,-0.731919941308987,1.0520006011951397,0.016849834958906594,0.8475223950143839,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L8+16+24,8,8+16+24,gram_random,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.1644272804260254,-4.633177280426025,-4.484375,-4.46875,0.015625,False,20,20,10.75914520069459,0.5823292766534722,10.176815924041119,0.5511785906327189,0.00882819674674437,0.9131318657412297,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L8+16+24,8,8+16+24,noop_same_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,5.860556112968393,5.860556112968392,8.881784197001252e-16,0.0,0.0,1.0000000000000027,True,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L8+16+24,8,8+16+24,clens_answer,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16478361189365387,-4.649158477783203,-4.484375,-4.484375,0.0,False,20,20,-4.499717713764193,11.145964465369564,-15.645682179133757,0.6098018713255853,0.00976716256416145,0.946671791573749,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L8+16+24,8,8+16+24,whole_state,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-3.4532227516174316,-0.15634775161743164,-4.484375,3.296875,7.78125,True,20,22,,,,46.80415344238281,,,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L16+24+31,16,16+24+31,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383343935012817,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,19.055804590755585,6.477136634394046,12.578667956361539,0.7714254057860365,0.005376870894027361,0.8745324946959456,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L16+24+31,16,16+24+31,logit_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16495677828788757,-4.649331569671631,-4.484375,-4.484375,0.0,False,20,20,1.1288495088660029,-0.13727374270236237,1.2661232515683651,1.819819828183592,0.012684228692940135,0.8475223950143839,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L16+24+31,16,16+24+31,gram_random,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.1638331413269043,-4.648208141326904,-4.484375,-4.484375,0.0,False,20,20,23.996697455986983,-3.2925481419913467,27.28924559797833,1.673596715270626,0.011665046807097667,0.8745324945612903,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L16+24+31,16,16+24+31,noop_same_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,12.168399311980114,12.168399311980114,0.0,0.0,0.0,1.0000000000000013,True,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L16+24+31,16,16+24+31,clens_answer,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.1638326346874237,-4.648207664489746,-4.484375,-4.484375,0.0,False,20,20,61.14046993707627,-30.565657623588358,91.70612756066463,4.492573242878343,0.031313444083819315,0.9070694259347466,False,True
base_0000_affine,base_0000,global_shadow,affine,test,source,use,band,L16+24+31,16,16+24+31,whole_state,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.17399442195892334,-4.564619541168213,-4.484375,-4.390625,0.09375,False,20,20,,,,116.88175201416016,,,,True
base_0000_affine,base_0000,global_shadow,affine,test,source,pre_def,single,L8,8,8,clens_value,2,4,5,7,-0.16383354365825653,-4.6482086181640625,-0.16383354365825653,-4.6482086181640625,-4.484375,-4.484375,0.0,False,20,20,28.049192696648348,0.7028871891660033,27.346305507482345,1.481081924076294,0.02572413957278338,0.9131318659667804,False,True
