model,site,features,layer,breakdown,cell,accuracy,auc,control_accuracy,selectivity,n,n_groups,pos_frac,converged
deepseek-coder-6.7b,sink_arg,surface,-1,all,all,0.49126559714795015,0.47719194143384136,0.5948306595365419,-0.10356506238859176,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,family,command_exec,0.5267857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,family,dynamic_exec,0.4642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,family,sql_exec,0.48214285714285715,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,structure,assign_chain,0.47619047619047616,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,structure,branch_merge,0.6071428571428571,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,structure,direct,0.4880952380952381,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,surface,-1,structure,helper,0.39285714285714285,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,all,all,0.4820855614973262,0.4772826567022855,0.5267379679144385,-0.04465240641711232,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,family,command_exec,0.48214285714285715,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,family,dynamic_exec,0.4642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,family,sql_exec,0.5,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,structure,assign_chain,0.5,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,structure,branch_merge,0.5,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,structure,direct,0.42857142857142855,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,-1,structure,helper,0.5,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,all,all,0.46131907308377895,0.4460450684892333,0.5617647058823529,-0.10044563279857399,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,family,command_exec,0.45535714285714285,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,family,dynamic_exec,0.44642857142857145,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,family,sql_exec,0.48214285714285715,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,structure,assign_chain,0.40476190476190477,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,structure,branch_merge,0.5119047619047619,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,structure,direct,0.4642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,0,structure,helper,0.4642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,all,all,0.7583778966131908,0.8734609384184722,0.571301247771836,0.18707664884135478,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,family,command_exec,0.7232142857142857,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,family,dynamic_exec,0.75,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,family,sql_exec,0.8035714285714286,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,structure,assign_chain,0.4880952380952381,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,structure,branch_merge,0.9642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,structure,direct,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,3,structure,helper,0.5833333333333334,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,all,all,0.9790552584670232,0.9980649527676894,0.5920677361853832,0.38698752228164,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,family,command_exec,0.9821428571428571,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,family,dynamic_exec,0.9732142857142857,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,family,sql_exec,0.9821428571428571,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,structure,assign_chain,0.9404761904761905,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,structure,branch_merge,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,structure,direct,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,7,structure,helper,0.9761904761904762,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,all,all,0.9881461675579324,0.9996539792387544,0.562210338680927,0.42593582887700543,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,family,command_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,family,dynamic_exec,0.9642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,family,sql_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,structure,branch_merge,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,structure,direct,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,11,structure,helper,0.9880952380952381,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,all,all,1.0,1.0,0.5709447415329768,0.4290552584670232,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,family,command_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,family,dynamic_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,family,sql_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,structure,assign_chain,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,structure,branch_merge,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,structure,direct,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,15,structure,helper,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,all,all,1.0,1.0,0.5859180035650624,0.4140819964349376,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,family,command_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,family,dynamic_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,family,sql_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,structure,assign_chain,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,structure,branch_merge,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,structure,direct,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,19,structure,helper,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,all,all,1.0,1.0,0.589126559714795,0.410873440285205,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,family,command_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,family,dynamic_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,family,sql_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,structure,assign_chain,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,structure,branch_merge,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,structure,direct,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,23,structure,helper,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,27,all,all,1.0,1.0,0.5861853832442068,0.41381461675579323,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,27,family,command_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,27,family,dynamic_exec,1.0,,,,67,168,0.5,True
deepseek-coder-6.7b,sink_arg,hidden,27,family,sql_exec,1.0,,,,67,168,0.5,True
