model,base_id,split,arm,binding,cell,layer,target_mode,target_token,score,rho,n_tokens,frac_inner_def_name,frac_inner_def_value,frac_outer_def_name,frac_outer_def_value,frac_use_site,frac_return_kw,frac_signature,frac_question_var,frac_question,frac_other,frac_outer_def,frac_inner_def,frac_inner_def_identical,frac_both_defs,frac_question_all,ntok_inner_def_name,ntok_inner_def_value,ntok_outer_def_name,ntok_outer_def_value,ntok_use_site,ntok_return_kw,ntok_signature,ntok_question_var,ntok_question,ntok_other
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,0,inner,4640,-128.2427978515625,1.000000216529227,35,0.013626200172645197,0.006070077749086206,0.3050845854373599,-0.0042678448620504204,0.007853132897536088,-0.002825944727881545,0.03374292661121634,0.011441446648648584,0.33149844309036985,0.29777719351229687,0.3008167405753095,0.019696277921731405,0.006070077749086206,0.3205130184970409,0.34293988973901846,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,0,outer,4871,-126.06446838378906,1.0000004140640764,35,0.012259070168272842,0.007911581762804565,0.3053390191267939,-0.0006481173711406685,0.006970098634237906,-0.0035189966612444975,0.03314197046640541,0.012098366498377283,0.32915584815619214,0.2972915732833775,0.3046909017556532,0.020170651931077407,0.007911581762804565,0.3248615536867306,0.3412542146545694,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,0,margin,-1,-2.1783294677734375,0.9999887847756077,35,0.09274486415917735,-0.10050159928620968,0.2903599773044081,-0.21374902233615745,0.058956166949194096,0.037282415753997995,0.06852151177859149,-0.026575874813496873,0.4670692965285934,0.32588104873751395,0.07661095496825066,-0.00775673512703233,-0.10050159928620968,0.06885421984121833,0.44049342171509653,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,3,inner,4640,-128.2427978515625,1.000000235178511,35,0.010515900223927125,0.006614510889676031,0.25187518144998167,-0.001823433346728903,0.0027038029555078694,-0.002657372164026024,0.04520109719420323,0.010661904249142129,0.37964247098399134,0.2972661727428366,0.25005174810325276,0.017130411113603156,0.006614510889676031,0.2671821592168559,0.3903043752331335,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,3,outer,4871,-126.06446838378906,1.0000004120546304,35,0.009537889758006797,0.007493377282095186,0.24757518403158843,0.0008168709998691563,0.0010605782642011793,-0.002430629177453814,0.04714163622508869,0.011562439215440872,0.3838895578489562,0.2933535076068377,0.2483920550314576,0.017031267040101983,0.007493377282095186,0.2654233220715596,0.39545199706439704,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,3,margin,-1,-2.1783294677734375,0.9999899989886802,35,0.06711540515834379,-0.0442473197836914,0.5007249980736767,-0.15462335124230348,0.09780064216616816,-0.01577946158385811,-0.06710194278469349,-0.0414539319762677,0.13385469841218417,0.5237002625491245,0.3461016468313732,0.02286808537465239,-0.0442473197836914,0.3689697322060256,0.09240076643591646,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,7,inner,4640,-128.2427978515625,1.0000002029925192,35,0.008007229666298611,0.007064361832977969,0.1873032308805262,0.004775485579485801,0.004984069398073894,-0.002200675945800593,0.06254066078431605,0.01328502865868604,0.43353469997580163,0.28070611216215346,0.19207871646001198,0.01507159149927658,0.007064361832977969,0.20715030795928854,0.44681972863448766,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,7,outer,4871,-126.06446838378906,1.0000002657196814,35,0.007936889907611707,0.007264718404163471,0.18179725847794434,0.005142626655957489,0.005476745041856089,-0.001335403690909541,0.06455188454223015,0.013500658145097637,0.4387481761228024,0.2769167121129275,0.18693988513390183,0.015201608311775177,0.007264718404163471,0.20214149344567703,0.4522488342679001,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,7,margin,-1,-2.1783294677734375,0.9999965728408549,35,0.012077938168521775,-0.004530690709517438,0.5059453344447635,-0.016471734050042378,-0.023528097396661507,-0.05227578553497503,-0.05385305173404047,0.0008061006661576503,0.1318199646125573,0.500006594374085,0.48947360039472115,0.007547247459004336,-0.004530690709517438,0.4970208478537255,0.13262606527871496,1,1,1,1,1,1,3,1,18,7
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,11,inner,4640,-128.2427978515625,1.0000001609299596,35,0.009804689730942397,0.010570988698640732,0.1488329940317829,0.00873995016223413,0.009457973395565719,0.0014914425093208773,0.07666191637059583,0.008061749250700813,0.4624431266551733,0.2639353301250027,0.15757294419401704,0.020375678429583127,0.010570988698640732,0.17794862262360017,0.4705048759058741,1,1,1,1,1,1,3,1,18,7
