model,base_id,split,arm,binding,cell,style,variant,question,kind,correct_pole,inner_token,outer_token,logp_inner,logp_outer,margin_inner,margin_correct,says_inner,correct,argmax_token,argmax_is_a_choice,n_prompt_tokens,question_text
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,scope,direct,scope/direct,word,outer,4640,4871,-1.7355049848556519,-1.3733547925949097,-0.3621501922607422,0.3621501922607422,0,1,4871,1,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,scope,direct,scope/direct,word,inner,4640,4871,-1.713425636291504,-1.4342641830444336,-0.2791614532470703,-0.2791614532470703,0,0,4871,1,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,scope,direct,scope/direct,word,outer,4640,4871,-1.7081879377365112,-1.411110758781433,-0.2970771789550781,0.2970771789550781,0,1,4871,1,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,scope,direct,scope/direct,word,inner,4640,4871,-1.6918295621871948,-1.4431856870651245,-0.2486438751220703,-0.2486438751220703,0,0,4871,1,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,scope,swapped,scope/swapped,word,outer,4640,4871,-0.8188429474830627,-2.617884635925293,1.7990416884422302,-1.7990416884422302,1,0,4640,1,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,scope,swapped,scope/swapped,word,inner,4640,4871,-0.8358362317085266,-2.464925527572632,1.6290892958641052,1.6290892958641052,1,1,4640,1,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,scope,swapped,scope/swapped,word,outer,4640,4871,-0.7948113679885864,-2.689573287963867,1.8947619199752808,-1.8947619199752808,1,0,4640,1,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,scope,swapped,scope/swapped,word,inner,4640,4871,-0.8246117234230042,-2.4967174530029297,1.6721057295799255,1.6721057295799255,1,1,4640,1,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,binding,direct,binding/direct,word,outer,9526,12915,-0.5357096195220947,-1.0848157405853271,0.5491061210632324,-0.5491061210632324,1,0,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,binding,direct,binding/direct,word,inner,9526,12915,-0.4279335141181946,-1.2835328578948975,0.8555993437767029,0.8555993437767029,1,1,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,binding,direct,binding/direct,word,outer,9526,12915,-0.5204726457595825,-1.0974581241607666,0.5769854784011841,-0.5769854784011841,1,0,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,binding,direct,binding/direct,word,inner,9526,12915,-0.4290677011013031,-1.2639726400375366,0.8349049389362335,0.8349049389362335,1,1,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.4283895492553711,-1.250257968902588,0.8218684196472168,-0.8218684196472168,1,0,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.37901559472084045,-1.3602553606033325,0.9812397658824921,0.9812397658824921,1,1,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.400730699300766,-1.303131341934204,0.9024006426334381,-0.9024006426334381,1,0,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.40037256479263306,-1.2972185611724854,0.8968459963798523,0.8968459963798523,1,1,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-1.0153353214263916,-1.800874948501587,0.7855396270751953,-0.7855396270751953,1,0,2291,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-0.9587025046348572,-1.9354767799377441,0.976774275302887,0.976774275302887,1,1,2291,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-1.0364806652069092,-1.8015773296356201,0.7650966644287109,-0.7650966644287109,1,0,2291,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-0.9572173953056335,-1.9345295429229736,0.9773121476173401,0.9773121476173401,1,1,2291,1,33,"
# Question: is the z returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-0.7777416706085205,-2.439549684524536,1.6618080139160156,-1.6618080139160156,1,0,2291,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-0.714677095413208,-2.6983673572540283,1.9836902618408203,1.9836902618408203,1,1,2291,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-0.801124632358551,-2.428220748901367,1.6270961165428162,-1.6270961165428162,1,0,2291,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-0.7225034236907959,-2.6835649013519287,1.9610614776611328,1.9610614776611328,1,1,2291,1,33,"
# Question: is the z returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,shadow,direct,shadow/direct,word,outer,5336,637,-1.2357169389724731,-0.7016474008560181,-0.5340695381164551,0.5340695381164551,0,1,637,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,shadow,direct,shadow/direct,word,inner,5336,637,-1.194899082183838,-0.7256502509117126,-0.46924883127212524,-0.46924883127212524,0,0,637,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
