model,layer,direction,rank,token_id,token,meaning,in_lexicon
deepseek-coder-1.3b,0,positive,0,31421," ""[",higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,1,1227,ray,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,2,22877,encs,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,3,2219,ries,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,4,20808,rage,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,5,14161,чител,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,6,14926,itled,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,7,18795, inactives,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,8,25851,RAY,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,9,22273, jail,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,10,14062, exclaimed,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,11,23248,ن,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,12,23095,[]{,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,13,23581,herical,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,14,14406,IES,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,15,14067,_{-,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,16,13227,PECT,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,17,24814,nol,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,18,26890, tide,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,19,18145,ilus,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,20,14142,rick,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,21,10583,obe,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,22,26833,udis,higher under the INNER binding,0
deepseek-coder-1.3b,0,positive,23,27156,IENT,higher under the INNER binding,0
deepseek-coder-1.3b,0,negative,0,3953, message,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,1,2504,aven,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,2,25385,)}.,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,3,17474, Lew,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,4,1997,message,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,5,19757,avall,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,6,23743,ности,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,7,14325,)}(,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,8,19938,}}.,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,9,8373, chain,higher under the OUTER binding,0
