example_id,layer,lens,comparison,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_167154,-1,clens,control_dep,indent_matched,o,k,-15,0.43477863073349,True
synthetic_control_167154,-1,logit,control_dep,indent_matched,o,k,-15,-1.0885951519012451,False
synthetic_control_167154,-1,random,control_dep,indent_matched,o,k,-15,0.09446418285369873,True
synthetic_control_167154,-1,clens,guard_var,present_in_program,n,o,0,-0.44883209466934204,False
synthetic_control_167154,-1,logit,guard_var,present_in_program,n,o,0,0.4570651948451996,True
synthetic_control_167154,-1,random,guard_var,present_in_program,n,o,0,-0.11950242519378662,False
synthetic_control_167154,-1,clens,next_ident,present_in_program,o,f,0,0.28970789909362793,True
synthetic_control_167154,-1,logit,next_ident,present_in_program,o,f,0,-0.4136075973510742,False
synthetic_control_167154,-1,random,next_ident,present_in_program,o,f,0,-0.7387282848358154,False
synthetic_control_167154,-1,clens,control_dep,indent_matched,k,o,1,-0.43477863073349,False
synthetic_control_167154,-1,logit,control_dep,indent_matched,k,o,1,1.0885951519012451,True
synthetic_control_167154,-1,random,control_dep,indent_matched,k,o,1,-0.09446418285369873,False
synthetic_control_167154,-1,clens,guard_var,present_in_program,f,n,0,0.1591241955757141,True
synthetic_control_167154,-1,logit,guard_var,present_in_program,f,n,0,-0.043457597494125366,False
synthetic_control_167154,-1,random,guard_var,present_in_program,f,n,0,0.858230710029602,True
synthetic_control_167154,-1,clens,next_ident,present_in_program,k,o,0,-0.43477863073349,False
synthetic_control_167154,-1,logit,next_ident,present_in_program,k,o,0,1.0885951519012451,True
synthetic_control_167154,-1,random,next_ident,present_in_program,k,o,0,-0.09446418285369873,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,c,-72,0.28867965936660767,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,c,-72,-0.57318115234375,False
synthetic_control_367930,-1,random,control_dep,indent_matched,v,c,-72,0.17286552488803864,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,u,-65,0.18979328870773315,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,u,-65,-0.2391374558210373,False
synthetic_control_367930,-1,random,control_dep,indent_matched,v,u,-65,-0.1409989595413208,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,y,-58,0.05528461933135986,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,y,-58,-0.6165080666542053,False
synthetic_control_367930,-1,random,control_dep,indent_matched,v,y,-58,0.6777061223983765,True
