model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
deepseek-coder-1.3b,train,clens,-1,sink_arg,24281, vulnerable,-0.001560894076918636,105,0.125,1,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,5723, safe,-0.0032112556881586716,115,0.11904761904761904,0,1,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,18532, trusted,0.002592063955504298,76,0.13690476190476192,0,1,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,3910, clean,-0.010775693781757486,155,0.11904761904761904,0,1,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,5402,ibly,-0.017958905938757243,185,0.10714285714285714,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,29948, sensation,-0.014095834746521678,173,0.10714285714285714,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,27671,bey,-0.026966044658411084,193,0.08928571428571429,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,19371,ected,0.0004189276577204074,93,0.14285714285714285,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,3015, ?,0.026255844836442548,3,0.16071428571428573,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,7596,di,-0.015819491227351705,181,0.1130952380952381,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,18949,metic,0.016253974705230035,21,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,9371,uled,0.01452119283965258,27,0.125,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,10597,icker,-0.001370013784432646,103,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,26716, sovi,-0.0007148599170422135,98,0.125,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,28194,inas,-0.002479358453771582,110,0.10119047619047619,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,20560,looked,-0.0066482352734942955,136,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,23355,lord,-0.004423465830217359,122,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,30667,edic,0.017126751277273342,17,0.13690476190476192,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,21967,?!,0.011079639732855235,36,0.1130952380952381,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,27260,emor,-0.0026661553319340353,111,0.14285714285714285,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,25981, alleged,-0.012535624324545306,165,0.09523809523809523,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,14120,edly,0.003395448477915729,71,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,2178,ably,-0.009761238408300342,149,0.10714285714285714,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,30309,mx,-0.0006259333408360609,97,0.13690476190476192,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,5668,??,0.0067898221382991135,58,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,9303,pled,0.015156751576718794,25,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,14139,Di,0.00029190620792410304,94,0.1488095238095238,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,26765,ROP,0.019559969824953085,12,0.14285714285714285,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,8212, Di,-0.015090506091924331,175,0.1130952380952381,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,2030,ified,-0.004942583796408217,125,0.1130952380952381,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,15390,God,0.012792978175029638,30,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,2518,ponse,0.010763197116963892,38,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,5737,arily,0.0013154667575931065,88,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,19041,Having,0.0014575956495100188,86,0.13690476190476192,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,18958,lemn,0.0014623648987835017,85,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,11615,чина,-0.01696953045087311,183,0.08333333333333333,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,3630,itten,-0.013709931616590242,171,0.10119047619047619,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,401,ra,0.009189613638644286,47,0.13690476190476192,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,20078,此时,-0.004376160575241796,121,0.1130952380952381,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,8896, containing,0.009332988394204864,44,0.16071428571428573,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,29488,asso,-0.012856335679783712,169,0.10714285714285714,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,27724, invested,0.003626367117859465,69,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,18412,ika,-0.020057206541683505,188,0.09523809523809523,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,1110,ield,-0.004447288752299244,123,0.13690476190476192,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,1238,uc,-0.010906615606813212,156,0.10714285714285714,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,29079,eterm,0.003850181042379473,68,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,25198,adic,0.011381047392030804,34,0.125,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,15278, involving,-0.00749026831393098,141,0.1130952380952381,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,17444,ugar,0.009241290905048636,46,0.13690476190476192,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,21106,esqu,0.006592745298485545,60,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,13338,trl,0.011199703934960996,35,0.1488095238095238,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,23436,?.,0.03288186704707615,0,0.15476190476190477,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,28419,anas,0.008011532448212294,50,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,24882,?--,0.026211852584509927,4,0.1488095238095238,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,28811,ViewById,0.02750064332767937,2,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,16613,UC,0.003905881848951413,66,0.125,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,18382, consisting,0.0018176888278751387,81,0.10714285714285714,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,1056,amb,-0.005814769952447279,131,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,13063,SU,0.01871205086610682,14,0.1488095238095238,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,14159,残,-0.012744304968143891,167,0.09523809523809523,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,8836,pad,-0.001598952855879988,106,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,17310,think,0.012456559820226818,32,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,27284,лер,-0.006355551509078709,134,0.10119047619047619,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,28888,logic,0.006178319860981304,61,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,23392, Brasil,-0.009994092099785341,151,0.125,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,27375, verm,0.00957602494588489,41,0.11904761904761904,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,425,nd,0.017188107072611668,16,0.14285714285714285,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,26970,rwx,0.016080735482879045,22,0.13095238095238096,0,0,0,168
deepseek-coder-1.3b,train,clens,-1,sink_arg,1685,ser,0.016723087581241775,18,0.14285714285714285,0,0,0,168
