model,item_id,family,pair_id,arm,read,lens,layer,position,target_in_prompt,rank,distractor_rank,margin,n_target_ids
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,0,30,False,13478,5572,-2.34375,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,1,30,False,20229,5976,-3.8046875,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,2,30,False,9992,7763,-0.6727294921875,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,3,30,False,8821,3017,-2.5302734375,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,4,30,False,9131,2224,-2.9453125,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,5,30,False,6600,656,-5.328125,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,6,30,False,11806,272,-7.046875,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,7,30,False,12043,311,-7.109375,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,8,30,False,9265,143,-7.0390625,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,9,30,False,2455,230,-3.8583984375,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,10,30,False,6180,150,-5.90625,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,11,30,False,1424,80,-3.7265625,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,12,30,False,32,20,-0.40625,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,13,30,False,12,3,-1.34375,6
deepseek-coder-6.7b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,14,30,False,3,9,0.6875,6
