model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift,binding_shift,0,140,140,-0.01694271276041634,-0.016029595658262702,0.011511303487976915,-1.4718326884624586,-0.01897462501960834,-0.014933559566782566,0.05714285714285714,140,0,4.5561042803943e-30,0.0,-10.006481051698383,,,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift_identical,binding_shift_identical,1,140,140,-0.014697306425081085,-0.01400054502405108,0.00691857539294711,-2.124325542519016,-0.015904620450781483,-0.013568176739567788,0.007142857142857143,140,0,2.023250774730744e-40,0.0,-10.915467590475167,,,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_both_defs,both_defs,0,140,140,0.010713002043915388,0.01032658586125021,0.008500615038059973,1.260261992332302,0.009368755833914496,0.012190387113293595,0.8928571428571429,140,0,8.894877270372546e-23,0.0,9.646325801379112,0.3122255575662919,0.32293855961020723,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def,inner_def,0,140,140,-0.003114855358250476,-0.003577151674577404,0.008061394389459377,-0.3863916349661895,-0.004418845381053072,-0.0016373835307539899,0.29285714285714287,140,0,1.0330793850718241e-06,0.0,-4.493894824629944,0.01830615247289076,0.015191297114640283,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_identical,inner_def_identical,1,140,140,-0.0008694490229152201,-0.0008964736494840417,0.002410225791018371,-0.3607334325917489,-0.0012757318784855291,-0.0004641744833825234,0.38571428571428573,140,0,0.0085565479610758,0.0,-4.058866073906037,0.003945306887078101,0.0030758578641628793,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_name,inner_def_name,0,140,140,-0.0022454063353352554,-0.0029956693663196828,0.008106026718015085,-0.27700455641788035,-0.0035463511528483612,-0.0008271667344313068,0.35,140,0,0.00048561896725776927,0.0,-3.2486069718345862,0.014360845585812663,0.012115439250477407,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_value,inner_def_value,1,140,140,-0.0008694490229152201,-0.0008964736494840417,0.002410225791018371,-0.3607334325917489,-0.0012757318784855291,-0.0004641744833825234,0.38571428571428573,140,0,0.0085565479610758,0.0,-4.058866073906037,0.003945306887078101,0.0030758578641628793,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_other,other,1,140,140,-0.0028577595676638817,-0.0029297523743340437,0.00528534602843301,-0.5406948858769698,-0.0037575770534774727,-0.001995545175614262,0.3142857142857143,140,0,1.3143213951094486e-05,0.0,-5.787634383923229,0.2981865066727509,0.29532874710508705,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def,outer_def,1,140,140,0.013827857402165864,0.013363084734181102,0.006115488738146224,2.2611205733914037,0.012813801432924413,0.014875545756018332,0.9928571428571429,140,0,2.023250774730744e-40,0.0,11.060442231667372,0.2939194050934011,0.307747262495567,1,1.9906392001445283e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_name,outer_def_name,1,140,140,0.017825256642402153,0.016762675440244457,0.006946880890122601,2.5659367022899344,0.016673038208911823,0.01903313382435831,1.0,140,0,1.4349296274686127e-42,0.0,11.308554082011105,0.30463451927875074,0.322459775921153,1,1.9906392001445283e-07
